fold,alpha,qbuf,status,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,mu_final,phi_final,db_iters
1,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
1,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
1,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
1,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
2,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
2,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
2,0.95,0.0,ok,0.05425031448946237,0.012786577114409562,0.07278625930689753,0.024767143374558542,2.938823351814787,0.2115093276254847,0.07085625222672509,2.9850481923415786,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.024759526621957413,0.03938609776790951,0.006365799543573744,0.05627694879605294,13.85437559243054,0.0,2.0
2,0.95,0.002,ok,0.05625031448946237,0.012786577114409562,0.07278625930689753,0.024767143374558542,2.938823351814787,0.2115093276254847,0.07085625222672509,2.9850481923415786,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.024759526621957413,0.03938609776790951,0.006365799543573744,0.05627694879605294,13.85437559243054,0.0,2.0
3,0.9,0.0,ok,0.05589643285301989,0.013217950018122423,0.16148052716481764,0.03872149111708467,4.170307560639609,0.17721201092273842,0.06751825584058235,2.624653269201066,0.11068013125592757,0.0896620236845268,1.23441482477969,-0.0015369241967359447,0.034331118009296446,0.021676431685063086,0.05805394855547909,33.101913710422735,0.0,2.0
3,0.9,0.002,ok,0.05789643285301989,0.013217950018122423,0.16148052716481764,0.03872149111708467,4.170307560639609,0.17721201092273842,0.06751825584058235,2.624653269201066,0.11068013125592757,0.0896620236845268,1.23441482477969,-0.0015369241967359447,0.034331118009296446,0.021676431685063086,0.05805394855547909,33.101913710422735,0.0,2.0
3,0.95,0.0,ok,0.09154244998744451,0.013217950018122423,0.1353097717192666,0.05559946476322464,2.433652415459313,0.16614717483832608,0.08519486806957732,1.9502016800194617,0.11068013125592757,0.0896620236845268,1.23441482477969,0.0026541093682530548,0.03363298952801504,0.022140810777669828,0.055117767805219264,49.48653551647433,0.0,2.0
3,0.95,0.002,ok,0.09354244998744451,0.013217950018122423,0.1353097717192666,0.05559946476322464,2.433652415459313,0.16614717483832608,0.08519486806957732,1.9502016800194617,0.11068013125592757,0.0896620236845268,1.23441482477969,0.0026541093682530548,0.03363298952801504,0.022140810777669828,0.055117767805219264,49.48653551647433,0.0,2.0
4,0.9,0.0,ok,0.03835479610294944,0.010427234273937259,0.22960489465123146,0.01356107570566123,16.931171216408757,0.32588807559489097,0.025451721024261853,12.804166574206835,0.6082070315681933,0.03429766125156586,17.733192566896253,0.0012086819279174762,0.05215312981307063,0.019429393413265654,0.04404762315008953,11.692817239055506,0.0,2.0
4,0.9,0.002,ok,0.04035479610294944,0.010427234273937259,0.22960489465123146,0.01356107570566123,16.931171216408757,0.32588807559489097,0.025451721024261853,12.804166574206835,0.6082070315681933,0.03429766125156586,17.733192566896253,0.0012086819279174762,0.05215312981307063,0.019429393413265654,0.04404762315008953,11.692817239055506,0.0,2.0
4,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
4,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
5,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
5,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
5,0.95,0.0,ok,0.03115251718739168,0.008447020224202541,0.007996052595834913,0.06986984806811725,0.11444210652983575,0.2498628425708187,0.09874304221102526,2.5304349245877296,0.43374838859993714,0.10615940613633523,4.085821543150832,-0.035840801398004274,0.056552866898960226,0.018223231640448884,0.056012027678852605,6.859236768151659,0.0,3.0
5,0.95,0.002,ok,0.03315251718739168,0.008447020224202541,0.007996052595834913,0.06986984806811725,0.11444210652983575,0.2498628425708187,0.09874304221102526,2.5304349245877296,0.43374838859993714,0.10615940613633523,4.085821543150832,-0.035840801398004274,0.056552866898960226,0.018223231640448884,0.056012027678852605,6.859236768151659,0.0,3.0
6,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
6,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
6,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
6,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
7,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
7,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
7,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
7,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
8,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
8,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
8,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
8,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
9,0.9,0.0,ok,0.05221211344397804,0.013183373485901108,0.014554365610815356,0.06361114462464279,0.2288021335993541,-0.01099134938793378,0.07435979633334666,-0.14781306471928443,0.05448935563535651,0.13826739606132177,0.3940867998352295,-0.039014519488493334,0.08048268311612433,0.017933672595589326,0.09437780960788267,9.129333446974417,0.0,2.0
9,0.9,0.002,ok,0.05421211344397804,0.013183373485901108,0.014554365610815356,0.06361114462464279,0.2288021335993541,-0.01099134938793378,0.07435979633334666,-0.14781306471928443,0.05448935563535651,0.13826739606132177,0.3940867998352295,-0.039014519488493334,0.08048268311612433,0.017933672595589326,0.09437780960788267,9.129333446974417,0.0,2.0
9,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
9,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
10,0.9,0.0,ok,0.06035599093257275,0.013733942620319625,0.0,0.0,inf,0.0,0.0,inf,1.4925336174478083,0.029368804646330182,50.820373366278965,0.0,0.0,0.0,0.0,0.41937815950234403,0.0,2.0
10,0.9,0.002,ok,0.062355990932572755,0.013733942620319625,0.0,0.0,inf,0.0,0.0,inf,1.4925336174478083,0.029368804646330182,50.820373366278965,0.0,0.0,0.0,0.0,0.41937815950234403,0.0,2.0
10,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
10,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
11,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
11,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
11,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,,,,
11,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,,,,
